-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  22.5472   Longitude 88.4361 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS
2020,1,1,16.01,11.45,13.73,15.25,14.73,23.87,9.15,8.36,76.5,0.0,101.87
2020,1,2,17.38,14.19,15.79,16.69,9.93,21.94,12.01,10.01,82.38,0.25,101.92
2020,1,3,16.24,15.29,15.76,16.02,3.05,17.95,14.9,10.68,94.0,26.76,101.73
2020,1,4,18.08,15.13,16.61,17.74,8.65,22.47,13.82,10.62,83.81,0.72,101.49
2020,1,5,16.96,13.92,15.44,16.79,9.1,21.58,12.48,9.83,83.12,0.12,101.51
2020,1,6,14.67,10.69,12.68,14.29,12.16,21.12,8.95,7.87,78.62,0.0,101.81
2020,1,7,15.07,10.27,12.67,14.3,12.69,21.02,8.33,7.69,74.81,0.0,101.63
2020,1,8,16.71,11.35,14.03,15.48,11.85,22.86,11.01,8.3,71.69,0.0,101.52
2020,1,9,16.33,13.01,14.66,15.7,9.0,21.15,12.15,9.28,81.38,2.87,101.51
2020,1,10,15.83,12.48,14.15,16.04,10.2,21.55,11.36,8.91,82.0,0.8,101.63
2020,1,11,13.0,9.15,11.07,13.2,11.66,19.58,7.92,7.14,79.44,0.03,101.73
2020,1,12,12.98,8.26,10.62,12.86,14.07,20.46,6.39,6.77,74.88,0.0,101.52
2020,1,13,13.69,7.68,10.69,12.69,14.03,20.4,6.37,6.47,69.5,0.0,101.31
2020,1,14,15.6,8.64,12.12,14.23,14.77,22.46,7.69,6.96,64.94,0.0,101.35
2020,1,15,17.66,10.81,14.24,15.51,12.98,23.77,10.79,8.06,65.19,0.0,101.45
2020,1,16,19.6,11.95,15.78,16.99,13.16,26.15,12.98,8.67,62.94,0.0,101.43
2020,1,17,20.17,13.12,16.65,17.83,12.62,26.74,14.12,9.34,65.38,0.0,101.48
2020,1,18,18.9,13.53,16.22,17.68,14.62,26.29,11.66,9.58,73.06,0.0,101.46
2020,1,19,19.21,15.32,17.26,19.07,13.98,26.56,12.58,10.8,79.69,0.0,101.42
2020,1,20,17.03,13.11,15.07,16.83,7.8,21.53,13.73,9.28,78.94,0.0,101.64
2020,1,21,16.05,9.78,12.91,15.37,13.2,22.44,9.23,7.45,68.44,0.0,101.79
2020,1,22,16.8,10.15,13.48,15.74,14.27,23.16,8.9,7.69,66.25,0.0,101.77
2020,1,23,18.97,14.35,16.65,18.09,11.15,24.56,13.42,10.13,75.31,0.0,101.53
2020,1,24,16.76,9.94,13.34,16.24,11.98,22.61,10.62,7.57,66.94,0.0,101.6
2020,1,25,15.39,7.36,11.37,14.19,14.5,22.33,7.83,6.35,60.88,0.0,101.54
2020,1,26,15.62,8.4,12.01,14.55,14.47,22.52,8.05,6.84,63.88,0.0,101.38
2020,1,27,15.71,9.69,12.7,14.9,14.38,22.65,8.26,7.45,69.75,0.0,101.34
2020,1,28,18.31,12.63,15.48,17.51,12.87,24.96,12.09,9.03,71.75,0.47,101.34
2020,1,29,19.65,16.53,18.09,19.28,9.35,24.98,15.63,11.6,83.12,8.33,101.47
2020,1,30,18.69,17.19,17.94,18.03,4.92,21.73,16.8,12.15,91.19,4.66,101.33
2020,1,31,17.4,12.51,14.95,16.96,11.7,23.38,11.69,8.97,75.12,0.05,101.43
2020,2,1,17.11,10.4,13.76,16.62,13.61,23.86,10.25,7.81,66.38,0.0,101.57
2020,2,2,17.04,9.94,13.49,16.12,12.81,23.15,10.33,7.51,64.94,0.0,101.78
2020,2,3,16.08,8.21,12.14,15.1,13.57,22.55,8.98,6.71,61.94,0.0,101.81
2020,2,4,16.59,7.83,12.21,15.55,13.86,23.31,9.45,6.59,57.81,0.0,101.6
2020,2,5,18.5,10.71,14.6,17.39,10.44,23.88,13.45,8.06,61.31,0.0,101.44
2020,2,6,19.35,13.01,16.19,18.64,11.79,24.79,13.0,9.22,68.81,0.0,101.58
2020,2,7,17.84,12.19,15.01,18.28,13.68,25.01,11.33,8.79,71.81,0.04,101.7
2020,2,8,17.4,13.61,15.51,17.77,8.37,22.15,13.79,9.58,79.69,0.45,101.78
2020,2,9,17.91,12.65,15.28,17.94,11.65,24.45,12.8,9.03,74.12,0.07,101.81
2020,2,10,15.89,7.8,11.85,15.62,15.52,24.02,8.51,6.53,61.75,0.0,101.77
2020,2,11,16.06,7.94,12.01,15.55,15.77,24.26,8.48,6.59,61.88,0.0,101.79
2020,2,12,16.35,7.6,11.98,15.65,16.71,24.76,8.04,6.47,59.31,0.0,101.72
2020,2,13,17.19,9.23,13.21,16.49,15.84,24.83,8.98,7.2,62.25,0.0,101.44
2020,2,14,19.01,12.84,15.93,18.62,15.79,27.05,11.26,9.28,69.75,0.0,101.03
2020,2,15,19.42,13.23,16.33,19.25,15.46,27.43,11.97,9.4,70.88,0.0,101.19
2020,2,16,19.37,10.97,15.17,18.65,15.89,27.16,11.26,8.12,61.06,0.0,101.47
2020,2,17,19.18,11.11,15.14,18.74,16.16,27.35,11.19,8.18,62.25,0.0,101.51
2020,2,18,19.33,11.58,15.45,18.73,15.92,27.15,11.24,8.42,63.62,0.0,101.41
2020,2,19,20.43,13.52,16.98,19.88,15.48,28.19,12.71,9.58,68.12,0.0,101.53
2020,2,20,21.46,16.53,19.0,21.38,13.52,28.99,15.48,11.66,75.69,0.0,101.53
2020,2,21,22.01,15.19,18.59,21.65,14.27,29.2,14.94,10.68,68.0,0.0,101.73
2020,2,22,22.48,13.84,18.15,21.45,13.45,29.05,15.6,9.77,60.31,0.0,101.77
2020,2,23,23.25,15.4,19.32,22.74,14.22,30.15,15.93,10.8,63.56,0.05,101.58
2020,2,24,23.38,16.59,19.99,23.37,12.29,29.57,17.28,11.66,68.25,0.57,101.3
2020,2,25,22.16,17.08,19.62,22.45,10.18,28.81,18.63,12.08,75.56,2.72,101.24
2020,2,26,21.09,16.38,18.73,21.3,8.54,26.46,17.92,11.54,76.38,3.66,101.35
2020,2,27,20.69,14.01,17.35,21.23,13.23,27.38,14.15,9.89,68.12,0.12,101.37
2020,2,28,21.61,13.8,17.7,21.83,12.12,28.15,16.03,9.77,63.56,0.0,101.33
2020,2,29,21.54,13.59,17.56,21.84,14.58,29.18,14.6,9.64,63.88,0.0,101.19
