-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  22.5472   Longitude 88.4361 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS
2021,9,5,28.62,26.23,27.42,28.67,6.21,32.13,25.92,21.42,87.31,2.04,100.13
2021,9,6,28.52,26.86,27.69,28.41,4.66,31.22,26.56,22.22,90.88,10.79,100.25
2021,9,7,27.58,26.28,26.93,27.34,3.36,29.51,26.15,21.42,92.56,25.76,100.56
2021,9,8,27.5,26.15,26.83,27.42,3.69,29.54,25.86,21.24,92.44,14.44,100.55
2021,9,9,27.98,25.6,26.79,27.9,5.02,30.9,25.89,20.57,87.31,5.41,100.4
2021,9,10,28.24,25.65,26.94,28.22,6.27,31.05,24.78,20.69,86.25,2.4,100.28
2021,9,11,27.9,26.14,27.02,27.84,5.2,31.08,25.88,21.3,90.44,19.94,100.14
2021,9,12,27.83,26.22,27.02,27.84,5.12,30.98,25.86,21.48,91.25,12.62,99.79
2021,9,13,27.54,26.5,27.01,27.26,2.68,28.97,26.28,21.85,94.0,19.07,99.74
2021,9,14,27.46,26.36,26.91,27.12,2.5,28.98,26.48,21.55,93.62,106.02,100.28
2021,9,15,27.26,26.49,26.87,27.02,2.13,28.41,26.28,21.67,95.5,43.82,100.53
2021,9,16,28.04,25.53,26.78,28.01,5.73,31.43,25.7,20.51,86.94,2.93,100.39
2021,9,17,27.79,25.79,26.79,27.94,5.81,31.12,25.3,20.81,89.25,4.27,100.32
2021,9,18,27.65,25.44,26.54,27.79,4.99,30.73,25.74,20.32,88.25,11.47,100.49
2021,9,19,27.23,25.42,26.33,27.4,4.5,29.87,25.37,20.32,90.12,42.21,100.64
2021,9,20,26.76,25.73,26.24,26.62,3.14,28.6,25.46,20.75,94.06,36.13,100.5
2021,9,21,26.83,25.98,26.4,26.58,2.51,28.33,25.83,21.06,95.0,46.55,100.37
2021,9,22,26.93,25.79,26.36,26.82,3.07,28.78,25.71,20.81,93.5,17.94,100.3
2021,9,23,27.07,25.92,26.49,26.83,3.62,29.23,25.61,20.94,93.44,7.35,100.54
2021,9,24,28.2,25.42,26.81,28.23,6.63,31.91,25.28,20.32,85.5,0.96,100.59
2021,9,25,28.2,25.86,27.03,28.33,6.95,31.8,24.84,20.94,87.62,0.29,100.44
2021,9,26,27.57,25.94,26.76,27.56,5.63,30.78,25.15,21.0,91.12,8.84,100.35
2021,9,27,27.4,25.93,26.66,27.38,5.25,30.36,25.1,21.0,91.88,5.82,100.37
2021,9,28,26.3,25.26,25.78,26.13,2.16,27.58,25.42,20.14,93.94,65.98,100.51
2021,9,29,26.73,25.0,25.87,26.62,3.61,28.94,25.33,19.78,90.5,38.08,100.66
2021,9,30,26.97,25.63,26.3,26.82,4.17,29.54,25.37,20.51,92.44,19.45,100.8
2021,10,1,27.33,25.44,26.39,27.4,5.4,30.52,25.12,20.32,89.75,1.81,100.79
2021,10,2,27.55,25.71,26.63,27.62,6.13,30.93,24.8,20.63,90.06,0.99,100.73
2021,10,3,27.56,26.31,26.94,27.38,3.41,29.65,26.25,21.42,92.94,2.71,100.57
2021,10,4,27.37,25.97,26.66,27.23,3.56,29.58,26.01,21.0,92.12,3.52,100.54
2021,10,5,27.56,26.02,26.79,27.48,3.92,29.85,25.93,21.06,91.44,5.08,100.72
2021,10,6,27.73,25.17,26.45,27.98,6.34,31.39,25.04,20.02,86.62,2.95,100.64
2021,10,7,28.16,25.74,26.95,28.39,7.17,32.15,24.98,20.75,87.31,3.16,100.44
2021,10,8,28.48,25.75,27.12,28.37,6.0,31.55,25.55,20.75,85.69,4.32,100.36
2021,10,9,28.21,25.58,26.9,28.4,6.84,31.76,24.91,20.57,86.25,1.39,100.43
2021,10,10,27.81,25.37,26.59,27.87,6.78,31.47,24.68,20.32,87.0,4.33,100.48
2021,10,11,27.83,25.53,26.68,27.89,6.47,31.33,24.86,20.51,87.62,1.48,100.43
2021,10,12,28.12,25.38,26.75,28.09,7.59,32.12,24.53,20.32,85.5,0.01,100.36
2021,10,13,27.23,25.73,26.48,27.02,3.81,29.16,25.35,20.75,91.56,2.83,100.33
2021,10,14,27.98,25.64,26.81,27.78,5.91,31.28,25.37,20.63,87.56,13.4,100.36
2021,10,15,28.74,25.27,27.01,28.7,7.8,32.75,24.94,20.2,82.5,9.72,100.23
2021,10,16,27.86,26.23,27.05,27.77,4.78,30.84,26.06,21.36,91.0,13.84,100.35
2021,10,17,26.91,25.97,26.44,26.74,2.99,28.67,25.68,21.06,94.5,48.64,100.47
2021,10,18,26.6,25.67,26.13,26.3,1.96,27.71,25.74,20.63,94.5,46.43,100.45
2021,10,19,26.66,25.74,26.2,26.4,2.48,28.15,25.66,20.69,94.56,28.83,100.82
2021,10,20,27.38,25.8,26.59,27.15,4.23,30.0,25.77,20.69,91.19,8.64,100.95
2021,10,21,26.09,23.44,24.76,25.88,4.94,28.86,23.92,18.01,85.81,0.47,100.96
2021,10,22,25.94,21.4,23.66,25.29,7.41,29.72,22.31,15.87,77.12,0.11,101.05
2021,10,23,25.66,19.82,22.74,24.78,8.74,29.51,20.77,14.34,70.94,0.0,101.19
2021,10,24,25.77,20.62,23.19,25.2,8.54,29.7,21.16,15.08,73.81,1.03,101.22
2021,10,25,26.09,21.58,23.83,25.47,5.68,29.12,23.44,16.05,76.69,2.92,101.08
2021,10,26,25.57,22.49,24.03,25.48,7.08,29.22,22.14,16.97,83.5,0.71,101.04
2021,10,27,25.13,22.94,24.03,25.08,6.83,28.62,21.79,17.4,88.06,1.91,101.12
2021,10,28,25.14,23.01,24.08,25.03,5.92,28.44,22.51,17.46,88.31,2.58,101.18
2021,10,29,24.33,21.87,23.1,24.44,8.66,29.01,20.34,16.3,86.75,1.48,101.3
2021,10,30,24.19,21.19,22.69,24.22,9.02,28.72,19.7,15.62,84.0,0.0,101.31
2021,10,31,24.01,20.33,22.17,23.87,9.24,28.68,19.44,14.83,80.75,0.0,101.25
2021,11,1,23.51,20.54,22.02,23.64,7.4,27.41,20.01,15.01,83.94,0.0,101.3
2021,11,2,23.43,20.08,21.76,23.16,8.77,27.8,19.03,14.59,82.19,0.0,101.36
2021,11,3,23.76,19.62,21.69,23.5,8.71,28.01,19.3,14.16,78.31,0.0,101.28
2021,11,4,24.27,20.18,22.23,23.86,8.51,28.63,20.12,14.65,78.5,0.0,101.24
2021,11,5,22.35,18.9,20.63,22.12,8.98,26.97,17.98,13.55,81.69,0.0,101.17
2021,11,6,21.63,17.95,19.8,21.02,11.06,27.15,16.08,12.82,80.69,0.0,101.02
2021,11,7,21.09,17.06,19.08,20.55,10.84,26.6,15.76,12.08,79.06,0.0,101.05
2021,11,8,20.67,17.55,19.12,20.28,10.84,26.17,15.33,12.45,83.06,0.0,101.12
2021,11,9,20.87,18.39,19.63,20.82,10.79,26.26,15.47,13.12,86.0,0.0,101.18
2021,11,10,21.94,18.83,20.39,21.37,10.5,26.88,16.38,13.49,82.88,0.0,101.16
2021,11,11,22.51,19.2,20.86,21.98,10.06,27.12,17.06,13.79,82.12,0.0,101.12
2021,11,12,23.96,20.84,22.4,23.9,9.27,28.7,19.42,15.32,83.31,0.24,101.15
2021,11,13,24.12,22.11,23.11,24.15,6.06,27.55,21.49,16.54,88.94,3.59,101.15
2021,11,14,24.68,22.51,23.59,25.0,6.71,28.44,21.73,16.97,88.31,3.84,101.06
2021,11,15,23.69,21.92,22.81,23.99,5.93,27.11,21.19,16.36,90.12,4.88,100.93
2021,11,16,22.55,20.86,21.7,22.82,6.2,26.12,19.91,15.32,90.5,0.86,101.04
2021,11,17,22.34,20.06,21.2,22.56,8.71,27.61,18.9,14.59,87.62,0.0,101.28
2021,11,18,21.51,18.48,20.0,21.4,10.99,27.22,16.23,13.24,83.69,0.0,101.13
2021,11,19,22.36,18.55,20.45,21.88,9.46,27.31,17.85,13.24,79.88,0.0,100.95
2021,11,20,23.32,19.33,21.33,22.78,10.01,28.22,18.21,13.98,79.06,0.0,100.96
2021,11,21,23.26,20.01,21.63,22.67,8.46,27.4,18.94,14.53,82.56,0.0,101.08
2021,11,22,24.08,19.86,21.97,23.26,9.45,28.69,19.24,14.4,77.88,0.0,101.05
2021,11,23,23.38,20.22,21.8,23.11,8.52,28.23,19.72,14.77,83.12,0.0,101.07
2021,11,24,20.88,17.23,19.05,20.92,9.64,26.44,16.81,12.21,80.44,0.0,101.25
2021,11,25,20.94,15.37,18.15,20.08,11.42,26.9,15.48,10.8,71.81,0.0,101.26
2021,11,26,20.38,16.47,18.42,19.78,10.85,26.1,15.25,11.6,79.25,0.0,101.32
2021,11,27,19.89,16.53,18.21,19.69,10.88,26.09,15.22,11.6,82.38,0.0,101.41
2021,11,28,18.95,16.15,17.55,18.51,11.67,24.97,13.3,11.35,84.44,0.0,101.49
2021,11,29,19.05,16.88,17.97,18.69,11.02,24.73,13.69,11.9,86.69,0.0,101.47
2021,11,30,19.01,17.01,18.01,18.82,11.54,25.13,13.59,11.96,87.88,0.0,101.44
2021,12,1,19.55,17.01,18.28,19.28,11.36,25.61,14.25,12.02,85.06,0.0,101.39
2021,12,2,20.42,16.58,18.5,19.61,12.98,26.7,13.72,11.66,79.62,0.0,101.36
2021,12,3,20.87,17.94,19.4,20.28,11.52,26.37,14.85,12.76,83.88,0.15,101.46
2021,12,4,20.4,19.48,19.94,20.32,4.27,22.65,18.37,14.04,94.38,21.73,101.39
2021,12,5,22.3,21.32,21.81,22.22,5.1,25.19,20.09,15.75,94.19,37.68,101.28
2021,12,6,23.02,21.75,22.38,23.01,7.08,27.05,19.97,16.24,92.75,36.84,100.99
2021,12,7,21.37,19.44,20.4,21.46,7.61,25.71,18.11,13.98,89.19,2.31,101.29
2021,12,8,20.78,18.76,19.77,20.76,9.84,25.89,16.05,13.37,88.56,0.05,101.5
2021,12,9,20.93,18.92,19.92,20.87,9.24,25.74,16.5,13.49,88.56,1.63,101.66
2021,12,10,20.17,16.58,18.37,19.46,6.78,23.93,17.15,11.6,80.56,0.84,101.65
2021,12,11,19.18,15.58,17.38,18.82,10.69,25.06,14.37,10.93,81.06,0.15,101.65
2021,12,12,17.93,14.73,16.33,17.69,10.42,24.01,13.58,10.31,82.44,0.0,101.75
2021,12,13,17.33,13.76,15.55,16.72,11.39,23.26,11.87,9.7,80.75,0.0,101.65
2021,12,14,17.12,13.4,15.26,16.13,11.08,22.63,11.55,9.46,79.69,0.0,101.54
2021,12,15,17.08,12.67,14.87,15.73,10.61,22.38,11.77,9.03,76.31,0.0,101.49
2021,12,16,16.65,13.89,15.27,16.23,10.03,22.11,12.08,9.83,84.62,0.0,101.55
2021,12,17,16.98,12.78,14.87,15.94,12.88,23.26,10.38,9.09,77.81,0.0,101.53
2021,12,18,17.35,14.68,16.01,16.79,12.68,23.8,11.12,10.38,84.88,0.0,101.48
2021,12,19,14.83,10.73,12.78,14.68,10.2,20.8,10.6,7.93,78.25,0.0,101.62
2021,12,20,12.55,8.21,10.37,12.29,13.33,19.53,6.2,6.71,76.81,0.0,101.66
2021,12,21,13.08,9.69,11.38,12.73,13.38,19.9,6.52,7.45,81.12,0.0,101.53
2021,12,22,13.69,9.39,11.54,13.23,12.3,20.57,8.26,7.32,77.12,0.0,101.36
2021,12,23,15.46,11.33,13.4,14.64,13.73,22.58,8.85,8.36,77.62,0.0,101.36
2021,12,24,17.26,11.43,14.35,15.33,12.56,23.03,10.47,8.36,70.12,0.0,101.39
2021,12,25,18.27,13.37,15.82,16.44,10.7,23.63,12.94,9.52,73.88,0.0,101.43
2021,12,26,19.51,15.32,17.41,17.73,8.21,24.09,15.88,10.74,77.38,0.0,101.62
2021,12,27,19.47,15.06,17.26,18.52,9.38,24.34,14.96,10.56,76.62,0.0,101.71
2021,12,28,18.99,15.94,17.47,18.65,10.05,24.13,14.08,11.17,83.31,0.34,101.66
2021,12,29,19.09,16.19,17.64,19.01,10.06,24.39,14.33,11.35,84.25,0.56,101.66
2021,12,30,18.01,15.42,16.71,17.99,9.02,23.59,14.57,10.74,85.81,0.86,101.88
2021,12,31,17.98,15.17,16.58,18.03,9.68,23.57,13.89,10.62,84.69,0.18,101.94
